x,rho,rho_exact
0.90625,0.125,0.125
0.90875,0.125,0.125
0.91125,0.125,0.125
0.91375,0.125,0.125
0.91625,0.125,0.125
0.91875,0.125,0.125
0.92125,0.125,0.125
0.92375,0.125,0.125
0.92625,0.125,0.125
0.92875,0.125,0.125
0.93125,0.125,0.125
0.93375,0.125,0.125
0.93625,0.125,0.125
0.93875,0.125,0.125
0.94125,0.125,0.125
0.94375,0.125,0.125
0.94625,0.125,0.125
0.94875,0.125,0.125
0.95125,0.125,0.125
0.95375,0.125,0.125
0.95625,0.125,0.125
0.95875,0.125,0.125
0.96125,0.125,0.125
0.96375,0.125,0.125
0.96625,0.125,0.125
0.96875,0.125,0.125
0.97125,0.125,0.125
0.97375,0.125,0.125
0.97625,0.125,0.125
0.97875,0.125,0.125
0.98125,0.125,0.125
0.98375,0.125,0.125
0.98625,0.125,0.125
0.98875,0.125,0.125
0.99125,0.125,0.125
0.99375,0.125,0.125
0.99625,0.125,0.125
0.99875,0.125,0.125
