t,x
0.106583,0.742
0.1068,0.746
0.107018,0.746
0.107236,0.746
0.107454,0.75
0.107672,0.75
0.10789,0.75
0.108109,0.75
0.108328,0.754
0.108547,0.754
0.108766,0.754
0.108986,0.754
0.109206,0.758
0.109426,0.758
0.109647,0.758
0.109867,0.762
0.110088,0.762
0.110309,0.762
0.110531,0.762
0.110752,0.766
0.110974,0.766
0.111196,0.766
0.111419,0.77
0.111641,0.77
0.111864,0.77
0.112087,0.77
0.112311,0.774
0.112534,0.774
0.112758,0.774
0.112982,0.778
0.113206,0.778
0.113431,0.778
0.113656,0.778
0.113881,0.782
0.114106,0.782
0.114332,0.782
0.114558,0.786
0.114784,0.786
0.11501,0.786
0.115236,0.786
0.115463,0.79
0.11569,0.79
0.115917,0.79
0.116145,0.794
0.116373,0.794
0.116601,0.794
0.116829,0.798
0.117057,0.798
0.117286,0.798
0.117515,0.798
0.117744,0.802
0.117973,0.802
0.118203,0.802
0.118433,0.806
0.118663,0.806
0.118894,0.806
0.119124,0.806
0.119355,0.81
0.119587,0.81
0.119818,0.81
0.12005,0.814
0.120282,0.814
0.120514,0.814
0.120746,0.818
0.120979,0.818
0.121212,0.818
0.121445,0.818
0.121678,0.822
0.121912,0.822
0.122146,0.822
0.122381,0.826
0.122615,0.826
0.12285,0.826
0.123085,0.826
0.12332,0.83
0.123555,0.83
0.123791,0.83
0.124027,0.834
0.124263,0.834
0.1245,0.834
0.124737,0.838
0.124974,0.838
0.125211,0.838
0.125449,0.842
0.125687,0.842
0.125925,0.842
0.126163,0.842
0.126402,0.846
0.12664,0.846
0.12688,0.846
0.127119,0.85
0.127359,0.85
0.127598,0.85
0.127839,0.854
0.128079,0.854
0.12832,0.854
0.128561,0.854
0.128802,0.858
0.129043,0.858
0.129285,0.858
0.129526,0.862
0.129769,0.862
0.130011,0.862
0.130254,0.866
0.130497,0.866
0.13074,0.866
0.130983,0.87
0.131227,0.87
0.131471,0.87
0.131715,0.874
0.13196,0.874
0.132204,0.874
0.132449,0.874
0.132695,0.878
0.13294,0.878
0.133186,0.878
0.133432,0.882
0.133678,0.882
0.133925,0.882
0.134172,0.886
0.134419,0.886
0.134667,0.886
0.134914,0.89
0.135162,0.89
0.13541,0.89
0.135659,0.894
0.135907,0.894
0.136156,0.894
0.136405,0.898
0.136655,0.898
0.136905,0.898
0.137155,0.898
0.137405,0.902
0.137656,0.902
0.137907,0.902
0.138158,0.906
0.138409,0.906
0.138661,0.906
0.138913,0.91
0.139165,0.91
0.139417,0.91
0.13967,0.914
0.139923,0.914
0.140176,0.914
0.14043,0.918
0.140684,0.918
0.140938,0.918
0.141193,0.922
0.141447,0.922
0.141702,0.922
0.141958,0.926
0.142213,0.926
0.142469,0.926
0.142725,0.93
0.142982,0.93
0.143238,0.93
0.143495,0.934
0.143752,0.934
0.14401,0.934
0.144268,0.938
0.144526,0.938
0.144784,0.938
0.145042,0.942
0.145301,0.942
0.145559,0.942
0.145818,0.946
0.146077,0.946
0.146335,0.946
0.146594,0.95
0.146853,0.95
0.147111,0.95
0.14737,0.954
0.147629,0.954
0.147887,0.954
0.148146,0.958
0.148405,0.958
0.148663,0.958
0.148922,0.962
0.149181,0.962
0.149439,0.962
0.149698,0.962
0.149957,0.966
0.150216,0.966
0.150474,0.966
0.150734,0.97
0.150992,0.97
0.15125,0.97
0.15151,0.974
0.151768,0.974
0.152027,0.974
0.152287,0.978
0.152545,0.978
0.152804,0.978
0.153063,0.982
0.153322,0.982
0.15358,0.982
0.15384,0.986
0.154098,0.986
0.154357,0.986
0.154617,0.99
0.154875,0.99
0.155134,0.99
0.155394,0.994
0.155652,0.994
0.155911,0.994
0.15617,0.998
0.156429,0.998
0.156688,0.998
0.156947,1.002
0.157206,1.002
0.157464,1.002
0.157724,1.006
0.157983,1.006
0.158241,1.006
0.158501,1.01
0.15876,1.01
0.159018,1.01
0.159278,1.014
0.159536,1.014
0.159795,1.014
0.160055,1.018
0.160313,1.018
0.160572,1.018
0.160832,1.022
0.16109,1.022
0.161349,1.022
0.161608,1.026
0.161867,1.026
0.162125,1.026
0.162385,1.03
0.162644,1.03
0.162902,1.03
0.163162,1.034
0.16342,1.034
0.163679,1.034
0.163938,1.038
0.164197,1.038
0.164455,1.038
0.164715,1.042
0.164974,1.042
0.165232,1.042
0.165492,1.046
0.16575,1.046
0.166009,1.046
0.166268,1.05
0.166527,1.05
0.166785,1.05
0.167045,1.054
0.167303,1.054
0.167562,1.054
0.167821,1.058
0.16808,1.058
0.168338,1.058
0.168598,1.062
0.168856,1.062
0.169115,1.062
0.169374,1.066
0.169633,1.066
0.169891,1.066
0.170151,1.07
0.170409,1.07
0.170668,1.07
0.170927,1.074
0.171186,1.074
0.171444,1.074
0.171704,1.078
0.171963,1.078
0.172221,1.078
0.17248,1.082
0.172739,1.082
0.172997,1.082
0.173256,1.086
0.173515,1.086
0.173773,1.086
0.174032,1.09
0.174292,1.09
0.17455,1.09
0.17481,1.094
0.175069,1.094
0.175327,1.094
0.175587,1.098
0.175846,1.098
0.176104,1.098
0.176364,1.102
0.176623,1.102
0.176881,1.102
0.17714,1.106
0.177399,1.106
0.177658,1.106
0.177917,1.11
0.178176,1.11
0.178434,1.11
0.178693,1.114
0.178952,1.114
0.17921,1.114
0.179469,1.118
0.179728,1.118
0.179986,1.118
0.180245,1.122
0.180504,1.122
0.180762,1.122
0.181021,1.126
0.18128,1.126
0.181538,1.126
0.181797,1.13
0.182056,1.13
0.182314,1.13
0.182573,1.134
0.182832,1.134
