x,y,rho
0.43164,0.025391,1
0.43945,0.025391,1
0.44727,0.025391,1
0.45508,0.025391,1
0.46289,0.025391,1
0.4707,0.025391,1
0.47852,0.025391,1
0.48633,0.025391,1
0.49414,0.025391,1
0.50195,0.025391,1
0.50977,0.025391,1
0.51758,0.025391,1
0.52539,0.025391,1
0.5332,0.025391,1
0.54102,0.025391,1
0.54883,0.025391,1
0.55664,0.025391,1
0.56445,0.025391,1
0.57227,0.025391,1
0.58008,0.025391,1
0.58789,0.025391,1
0.5957,0.025391,1
0.60352,0.025391,1
0.61133,0.025391,1
0.61914,0.025391,1
0.62695,0.025391,1
0.63477,0.025391,1
0.64258,0.025391,1
0.65039,0.025391,1
0.6582,0.025391,1
0.66602,0.025391,1
0.67383,0.025391,1
0.68164,0.025391,1
0.68945,0.025391,1
0.69727,0.025391,0.999999
0.70508,0.025391,0.999951
0.71289,0.025391,0.997158
0.7207,0.025391,0.98447
0.72852,0.025391,0.965482
0.73633,0.025391,0.943926
0.74414,0.025391,0.921554
0.75195,0.025391,0.899194
0.75977,0.025391,0.876782
0.76758,0.025391,0.853452
0.77539,0.025391,0.829031
0.7832,0.025391,0.804085
0.79102,0.025391,0.779111
0.79883,0.025391,0.754328
0.80664,0.025391,0.729822
0.81445,0.025391,0.705653
0.82227,0.025391,0.681824
0.83008,0.025391,0.658317
0.83789,0.025391,0.635199
0.8457,0.025391,0.612496
0.85352,0.025391,0.590191
0.86133,0.025391,0.568271
0.86914,0.025391,0.546737
0.87695,0.025391,0.52566
0.88477,0.025391,0.504964
0.89258,0.025391,0.484719
0.90039,0.025391,0.464981
0.9082,0.025391,0.445763
0.91602,0.025391,0.426985
0.92383,0.025391,0.40873
0.93164,0.025391,0.390995
0.93945,0.025391,0.373793
0.94727,0.025391,0.357197
0.95508,0.025391,0.341377
0.96289,0.025391,0.326626
0.9707,0.025391,0.313354
0.97852,0.025391,0.3022
0.98633,0.025391,0.293231
0.99414,0.025391,0.28704
0.0019531,0.033203,1
0.0097656,0.033203,1
0.017578,0.033203,1
0.025391,0.033203,1
0.033203,0.033203,1
0.041016,0.033203,1
0.048828,0.033203,1
0.056641,0.033203,1
0.064453,0.033203,1
0.072266,0.033203,1
0.080078,0.033203,1
0.087891,0.033203,1
0.095703,0.033203,1
0.10352,0.033203,1
0.11133,0.033203,1
0.11914,0.033203,1
0.12695,0.033203,1
0.13477,0.033203,1
0.14258,0.033203,1
0.15039,0.033203,1
0.1582,0.033203,1
0.16602,0.033203,1
0.17383,0.033203,1
0.18164,0.033203,1
0.18945,0.033203,1
0.19727,0.033203,1
0.20508,0.033203,1
0.21289,0.033203,1
0.2207,0.033203,1
0.22852,0.033203,1
0.23633,0.033203,1
0.24414,0.033203,1
0.25195,0.033203,1
0.25977,0.033203,1
0.26758,0.033203,1
0.27539,0.033203,1
0.2832,0.033203,1
0.29102,0.033203,1
0.29883,0.033203,1
0.30664,0.033203,1
0.31445,0.033203,1
0.32227,0.033203,1
0.33008,0.033203,1
0.33789,0.033203,1
0.3457,0.033203,1
0.35352,0.033203,1
0.36133,0.033203,1
0.36914,0.033203,1
0.37695,0.033203,1
0.38477,0.033203,1
0.39258,0.033203,1
0.40039,0.033203,1
0.4082,0.033203,1
0.41602,0.033203,1
0.42383,0.033203,1
0.43164,0.033203,1
0.43945,0.033203,1
0.44727,0.033203,1
0.45508,0.033203,1
0.46289,0.033203,1
0.4707,0.033203,1
0.47852,0.033203,1
0.48633,0.033203,1
0.49414,0.033203,1
0.50195,0.033203,1
0.50977,0.033203,1
0.51758,0.033203,1
0.52539,0.033203,1
0.5332,0.033203,1
0.54102,0.033203,1
0.54883,0.033203,1
0.55664,0.033203,1
0.56445,0.033203,1
0.57227,0.033203,1
0.58008,0.033203,1
0.58789,0.033203,1
0.5957,0.033203,1
0.60352,0.033203,1
0.61133,0.033203,1
0.61914,0.033203,1
0.62695,0.033203,1
0.63477,0.033203,1
0.64258,0.033203,1
0.65039,0.033203,1
0.6582,0.033203,1
0.66602,0.033203,1
0.67383,0.033203,1
0.68164,0.033203,1
0.68945,0.033203,0.999999
0.69727,0.033203,0.999951
0.70508,0.033203,0.997158
0.71289,0.033203,0.98447
0.7207,0.033203,0.965482
0.72852,0.033203,0.94393
0.73633,0.033203,0.92156
0.74414,0.033203,0.899042
0.75195,0.033203,0.876671
0.75977,0.033203,0.85471
0.76758,0.033203,0.832893
0.77539,0.033203,0.810357
0.7832,0.033203,0.786813
0.79102,0.033203,0.762726
0.79883,0.033203,0.738595
0.80664,0.033203,0.714659
0.81445,0.033203,0.691009
0.82227,0.033203,0.667697
0.83008,0.033203,0.644717
0.83789,0.033203,0.622061
0.8457,0.033203,0.599786
0.85352,0.033203,0.577912
0.86133,0.033203,0.556423
0.86914,0.033203,0.535334
0.87695,0.033203,0.514633
0.88477,0.033203,0.494367
0.89258,0.033203,0.474518
0.90039,0.033203,0.45511
0.9082,0.033203,0.436224
0.91602,0.033203,0.417876
0.92383,0.033203,0.399978
0.93164,0.033203,0.382611
0.93945,0.033203,0.365807
0.94727,0.033203,0.349764
0.95508,0.033203,0.33496
0.96289,0.033203,0.322149
0.9707,0.033203,0.312014
0.97852,0.033203,0.303377
0.98633,0.033203,0.296282
0.99414,0.033203,0.298308
0.0019531,0.041016,1
0.0097656,0.041016,1
0.017578,0.041016,1
