step,t,dt,res_mass,res_momx,res_momy,res_energy,cells,patches,rho_min,rho_max,p_min,p_max,mass,kinetic_energy,total_energy,enstrophy,species_mass,wall_s,mcells_per_s
460,0.662431927,0.00143579,0.664916,0.839016,0.873783,5.30112,72704,220,0.971549,2.0091,2.41148,2.5597,1.49999992,0.0442579941,6.29691293,5.25286805,0,2.302,13.3
470,0.676792837,0.00143439,0.754515,0.989,0.970943,6.14292,72704,220,0.975064,2.01413,2.42092,2.56444,1.49999992,0.0442304825,6.29691293,5.21337645,0,2.352,13.4
480,0.691152747,0.00143938,0.556921,0.668199,0.706658,4.23846,76800,236,0.971956,2.01835,2.40413,2.55762,1.49999992,0.0442084363,6.29691292,5.20197956,0,2.404,13.4
490,0.705440711,0.0014196,0.55337,0.56983,0.71744,3.96596,77824,240,0.973478,2.01458,2.4229,2.57016,1.49999992,0.0441863852,6.29691292,5.16652706,0,2.457,13.4
500,0.719599071,0.00141424,0.646438,0.610817,0.804212,4.13182,84992,268,0.975753,2.03012,2.42228,2.57222,1.49999992,0.0441637225,6.29691291,5.15783418,0,2.512,13.4
510,0.733715205,0.00141002,0.619312,0.653922,0.748853,3.91296,80896,252,0.974851,2.0282,2.42769,2.5596,1.49999992,0.0441384792,6.29691292,5.1429824,0,2.567,13.5
520,0.747813527,0.00140944,0.583352,0.623128,0.75682,3.86078,86016,272,0.974586,2.02928,2.42026,2.56727,1.49999992,0.0441136276,6.29691291,5.14982189,0,2.623,13.5
530,0.7619047,0.00140894,0.733474,0.862988,0.759327,4.34156,84992,268,0.973673,2.04048,2.40538,2.56754,1.49999993,0.0440908558,6.29691291,5.14123182,0,2.680,13.5
540,0.77598799,0.00140785,0.541241,0.64036,0.60961,3.47682,84992,268,0.973556,2.02546,2.41252,2.544,1.49999992,0.0440689643,6.29691292,5.13864254,0,2.736,13.6
550,0.790064849,0.00140738,0.497534,0.508341,0.626956,3.29177,84992,268,0.973642,2.01867,2.41429,2.54504,1.49999992,0.0440472277,6.2969129,5.13809954,0,2.801,13.6
560,0.804146755,0.00140912,0.520653,0.564691,0.671591,3.63345,87040,276,0.971335,2.01607,2.41002,2.56019,1.49999992,0.044025959,6.2969129,5.13624484,0,2.880,13.5
570,0.818225727,0.00140673,0.533605,0.593375,0.658748,3.67257,87040,276,0.972838,2.02039,2.42013,2.54496,1.49999992,0.0440055943,6.29691291,5.13616273,0,2.964,13.4
580,0.832290413,0.00140613,0.381043,0.458379,0.386801,2.4688,86016,272,0.972804,2.01642,2.41705,2.5393,1.49999992,0.0439855798,6.29691291,5.12127718,0,3.024,13.4
590,0.846358497,0.00140757,0.346716,0.384654,0.397363,2.14154,87040,276,0.972732,2.01615,2.41701,2.54311,1.49999992,0.0439647757,6.2969129,5.12633631,0,3.081,13.4
600,0.860434838,0.00140782,0.256387,0.303901,0.272035,1.43477,87040,276,0.973114,2.01533,2.41183,2.54052,1.49999992,0.0439437027,6.2969129,5.13745035,0,3.136,13.5
610,0.874524595,0.00140956,0.241219,0.237676,0.225443,1.18959,87040,276,0.972662,2.01489,2.4133,2.54517,1.49999992,0.0439226155,6.2969129,5.13586679,0,3.192,13.5
620,0.888615931,0.00140889,0.222093,0.196739,0.190373,0.985465,87040,276,0.973416,2.0154,2.41918,2.54616,1.49999992,0.0439014929,6.29691291,5.12901666,0,3.249,13.6
630,0.902702104,0.00140839,0.204172,0.170388,0.201963,0.818216,87040,276,0.9747,2.0166,2.41352,2.54512,1.49999992,0.0438796964,6.29691291,5.12016883,0,3.303,13.6
640,0.91678944,0.00140912,0.277514,0.24184,0.325192,1.72308,87040,276,0.975123,2.01386,2.42307,2.54906,1.49999992,0.0438579482,6.29691291,5.10092257,0,3.359,13.6
650,0.930888632,0.00141061,0.358093,0.320264,0.41099,2.05352,89088,284,0.974971,2.01974,2.42009,2.55055,1.49999992,0.0438355536,6.2969129,5.08306689,0,3.417,13.7
660,0.94499736,0.00141119,0.258355,0.220635,0.310916,1.29536,90112,288,0.975217,2.01885,2.4195,2.54955,1.49999992,0.0438128366,6.29691291,5.04672205,0,3.474,13.7
670,0.959114345,0.00141213,0.31993,0.258156,0.42544,1.95386,89088,284,0.9756,2.01927,2.42016,2.54682,1.49999992,0.0437920955,6.2969129,5.01332115,0,3.530,13.7
680,0.9732403,0.00141305,0.401272,0.470468,0.464428,2.90476,91136,292,0.973835,2.02232,2.41418,2.56231,1.49999993,0.0437677844,6.2969129,4.93960835,0,3.588,13.8
690,0.987380362,0.0014149,0.417274,0.533045,0.493044,3.01686,92160,296,0.974057,2.03404,2.40696,2.56566,1.49999993,0.043741977,6.2969129,4.91463625,0,3.646,13.8
700,1.00153205,0.00141532,0.489219,0.66809,0.541417,3.39215,92160,296,0.975572,2.0399,2.40394,2.56849,1.49999993,0.0437181431,6.2969129,4.91887313,0,3.705,13.8
710,1.0156905,0.00141655,0.413862,0.520426,0.429593,2.7221,90112,288,0.972915,2.02861,2.405,2.54883,1.49999993,0.0436966636,6.2969129,4.90839005,0,3.766,13.8
720,1.02986793,0.00141812,0.585533,0.63249,0.625988,3.27331,91136,292,0.973297,2.02932,2.41269,2.5642,1.49999993,0.0436769911,6.2969129,4.88651673,0,3.825,13.9
730,1.04404699,0.00141742,0.551067,0.57641,0.596154,3.15597,88064,280,0.975393,2.0261,2.41435,2.55281,1.49999993,0.0436544259,6.2969129,4.87913609,0,3.884,13.9
740,1.05822384,0.00141772,0.539843,0.563382,0.619735,3.33606,88064,280,0.977056,2.02212,2.40952,2.55432,1.49999993,0.0436315585,6.2969129,4.8749258,0,3.944,13.9
750,1.07239995,0.00141763,0.603293,0.550074,0.669078,3.4501,88064,280,0.977985,2.02072,2.39698,2.55698,1.49999993,0.0436088347,6.29691291,4.86837127,0,4.005,13.9
760,1.08658479,0.00141911,0.524408,0.619525,0.598863,3.1338,88064,280,0.978098,2.01768,2.40019,2.5571,1.49999993,0.0435863944,6.29691291,4.87486166,0,4.064,13.9
770,1.10078953,0.00142155,0.608465,0.558671,0.758761,3.75332,89088,284,0.976516,2.01814,2.39696,2.55291,1.49999993,0.0435640128,6.2969129,4.85622063,0,4.122,14.0
780,1.11501115,0.00142221,0.543267,0.470482,0.6833,3.25226,87040,276,0.976249,2.01992,2.39425,2.54818,1.49999993,0.0435413546,6.2969129,4.85087995,0,4.179,14.0
790,1.12922239,0.00142075,0.522864,0.417445,0.704553,3.15527,86016,272,0.976304,2.02009,2.40608,2.54882,1.49999993,0.0435172544,6.2969129,4.8446843,0,4.236,14.0
800,1.14342771,0.0014209,0.489132,0.424454,0.644163,3.04702,87040,276,0.975648,2.02414,2.39719,2.56331,1.49999993,0.0434943878,6.29691291,4.84843209,0,4.292,14.0
810,1.15765288,0.00142258,0.469788,0.464433,0.579412,3.03402,84992,268,0.975928,2.02412,2.39847,2.54654,1.49999993,0.0434711104,6.2969129,4.85489534,0,4.348,14.0
820,1.17186978,0.0014216,0.387969,0.389723,0.447624,2.25876,84992,268,0.975888,2.02137,2.39898,2.55743,1.49999994,0.0434476059,6.2969129,4.86018197,0,4.404,14.0
830,1.18609584,0.00142736,0.518516,0.543329,0.652492,3.5996,84992,268,0.976809,2.02172,2.38533,2.55207,1.49999993,0.043422849,6.29691291,4.81589423,0,4.462,14.1
840,1.20044943,0.00142922,0.623472,0.668457,0.71072,3.98735,82944,260,0.975071,2.01963,2.39503,2.55094,1.49999993,0.043398753,6.29691291,4.77588031,0,4.519,14.1
850,1.21482799,0.00144029,0.646262,0.729616,0.778448,4.66328,80896,252,0.97612,2.02164,2.38159,2.54992,1.49999994,0.0433705012,6.2969129,4.72349141,0,4.575,14.1
860,1.2292371,0.00143767,0.390151,0.386853,0.429025,2.21839,80896,252,0.97549,2.02036,2.37187,2.55006,1.49999994,0.0433423941,6.29691291,4.68989427,0,4.629,14.1
870,1.24355533,0.00142721,0.359694,0.368428,0.353186,1.8637,80896,252,0.975344,2.02157,2.3866,2.56617,1.49999994,0.0433154522,6.29691291,4.65590695,0,4.684,14.1
880,1.25778751,0.0014207,0.369676,0.403703,0.37297,2.04996,81920,256,0.977104,2.02557,2.38295,2.57655,1.49999994,0.0432888347,6.29691291,4.64803806,0,4.739,14.1
890,1.27197509,0.00141737,0.348341,0.346832,0.371927,1.82535,81920,256,0.978008,2.02406,2.38009,2.56062,1.49999994,0.0432630936,6.2969129,4.64241511,0,4.798,14.1
900,1.2861405,0.00141619,0.332777,0.316396,0.311414,1.70427,81920,256,0.977521,2.02536,2.38144,2.56715,1.49999994,0.0432391918,6.2969129,4.64653267,0,4.859,14.1
910,1.30030515,0.00141669,0.291785,0.243822,0.263965,1.3519,81920,256,0.977609,2.02455,2.38754,2.55945,1.49999994,0.0432145381,6.29691291,4.64639218,0,4.913,14.1
920,1.31447221,0.00141671,0.27716,0.212142,0.249531,1.0394,81920,256,0.977306,2.02407,2.38798,2.5601,1.49999994,0.0431890772,6.29691291,4.63490966,0,4.966,14.1
930,1.32863719,0.00141625,0.280951,0.20197,0.229135,0.85226,81920,256,0.977662,2.02669,2.38418,2.56426,1.49999994,0.0431649224,6.29691292,4.61432908,0,5.020,14.1
940,1.34279573,0.00141561,0.290687,0.190491,0.200917,0.787297,81920,256,0.978027,2.02668,2.3827,2.56227,1.49999994,0.0431424383,6.29691292,4.59032498,0,5.074,14.1
950,1.35695301,0.00141586,0.408257,0.379769,0.29254,1.52538,80896,252,0.977882,2.0282,2.37629,2.56161,1.49999994,0.0431187612,6.29691292,4.55643854,0,5.129,14.1
960,1.37110903,0.00141601,0.294461,0.208172,0.200121,0.845512,80896,252,0.978194,2.02633,2.37297,2.56507,1.49999994,0.0430933413,6.29691293,4.53159611,0,5.182,14.2
970,1.38527603,0.00141679,0.339555,0.349303,0.323771,1.89057,80896,252,0.978206,2.02559,2.36985,2.55762,1.49999994,0.0430688363,6.29691293,4.51914124,0,5.237,14.2
980,1.39945054,0.00141818,0.431471,0.45481,0.485433,2.44266,82944,260,0.978217,2.02414,2.37043,2.55715,1.49999994,0.0430439383,6.29691293,4.5260566,0,5.294,14.2
990,1.41363718,0.00141907,0.527146,0.377467,0.668288,3.26238,87040,276,0.978102,2.02438,2.37424,2.55399,1.49999994,0.04302041,6.29691292,4.53862962,0,5.355,14.2
1000,1.4278315,0.00141953,0.518315,0.439606,0.650944,3.16993,86016,272,0.977436,2.02529,2.37084,2.56318,1.49999994,0.0429969504,6.29691293,4.56886726,0,5.412,14.2
1010,1.44203373,0.0014207,0.492663,0.427393,0.477583,3.07642,86016,272,0.976685,2.02253,2.37246,2.55478,1.49999994,0.0429743272,6.29691292,4.61151821,0,5.470,14.2
1020,1.45623794,0.00142142,0.433061,0.406028,0.435856,2.23915,87040,276,0.976011,2.02179,2.3737,2.55307,1.49999995,0.0429519661,6.29691293,4.64545636,0,5.528,14.2
1030,1.47045509,0.0014214,0.352997,0.270658,0.292212,1.38984,87040,276,0.975106,2.02379,2.36719,2.55441,1.49999994,0.0429310731,6.29691293,4.6848804,0,5.585,14.2
1040,1.4846699,0.00142178,0.324985,0.216624,0.225358,0.993201,87040,276,0.976106,2.02449,2.36904,2.55383,1.49999994,0.0429104068,6.29691293,4.70055211,0,5.643,14.2
1050,1.4988949,0.00142259,0.41236,0.407829,0.396498,2.10433,90112,288,0.976428,2.02511,2.37165,2.56021,1.49999994,0.0428893344,6.29691293,4.68521379,0,5.704,14.2
1060,1.51312746,0.00142311,0.425366,0.495857,0.399625,2.59136,91136,292,0.977416,2.02652,2.37008,2.55658,1.49999994,0.0428675579,6.29691294,4.66633049,0,5.766,14.2
